"Seniūnijos pav.","Gatvės pavadinimas","Pastatų numeriai","Komentarai"
"Antakalnio","Anapilio g.",,
"Antakalnio","Antakalnio g.",,
"Antakalnio","Aukštagirio g.",,
"Antakalnio","Bistryčios g.",,
"Antakalnio","Balžio g.",,
"Antakalnio","K. Būgos g.",,
"Antakalnio","Debesijos g.",,
"Antakalnio","Elniakampio g.",,
"Antakalnio","Ežerėlio g.",,
"Antakalnio","Filaretų g. ","103-9999",
"Antakalnio","Gaigalų g.",,
"Antakalnio","Gailestingųjų Seserų g.",,
"Antakalnio","Gaidžių g.",,
"Antakalnio","Gelvadiškių g.",,
"Antakalnio","B. M. Gimbutienės g.",,
"Antakalnio","V. Grybo g.",,
"Antakalnio","A. J. Greimo g.",,
"Antakalnio","Gražinos g.",,
"Antakalnio","Grybautojų g.",,
"Antakalnio","Gvazdikų g.",,
"Antakalnio","K. Jauniaus g.",,
"Antakalnio","Jūratės g.",,
"Antakalnio","Kairėnės g.",,
"Antakalnio","Kairėnų g.",,
"Antakalnio","Kalvos g. ",2,
"Antakalnio","Kanklių g.",,
"Antakalnio","Karačiūnų g.",,
"Antakalnio","Karių Kapų g.",,
"Antakalnio","Klinikų g.",,
"Antakalnio","Kopūstų g.",,
"Antakalnio","Kuosų g.",,
"Antakalnio","Kiškių g.",,
"Antakalnio","Kiškeliškių g.",,
"Antakalnio","Lakštingalų g.",,
"Antakalnio","Latežerio g.",,
"Antakalnio","Lauksargio g.",,
"Antakalnio","Lentupio g.",,
"Antakalnio","Lingių g.",,
"Antakalnio","Lizdeikos g.",,
"Antakalnio","Maudyklos g.",,
"Antakalnio","Mildos g.",,
"Antakalnio","Mileišiškių g.",,
"Antakalnio","Miškadvario g.",,
"Antakalnio","Miškininkų g.",,
"Antakalnio","Medžiotojų g.",,
"Antakalnio","Meiriškių g",,
"Antakalnio","Meškeriotojų g.",,
"Antakalnio","Mėlynių g.",,
"Antakalnio","O. Milašiaus g.",,
"Antakalnio","Naujakurių g.",,
"Antakalnio","Nemenčinės pl.",,
"Antakalnio","Nugalėtojų g.",,
"Antakalnio","M. K. Oginskio g","2-6, 24",
"Antakalnio",". Olandų g. ",,
"Antakalnio","M. K. Paco g.",,
"Antakalnio","Pasakų g",,
"Antakalnio","Pavasario g.",,
"Antakalnio","Pečiukų g.",,
"Antakalnio","Pylimėlių g.",,
"Antakalnio","Plytinės g.",,
"Antakalnio","M. K. Paco g.",,
"Antakalnio","Pasakų g",,
"Antakalnio","Pavasario g.",,
"Antakalnio","Pečiukų g.",,
"Antakalnio","Pylimėlių g.",,
"Antakalnio","Plytinės g.",,
"Antakalnio","Pragiedrulių g.",,
"Antakalnio","Pupojų g.",,
"Antakalnio","Rato g.",,
"Antakalnio","P. Rimšos g.",,
"Antakalnio","Rūtų g.",,
"Antakalnio","Rokantiškių g.","1-9999",
"Antakalnio","Rudausių g.",,
"Antakalnio","Rukeliškių g.",,
"Antakalnio","Saulės g.",,
"Antakalnio","L. Sapiegos g.",,
"Antakalnio","Saulėtekio al.",,
"Antakalnio","Smėlio g.",,
"Antakalnio","Smilgų g.",,
"Antakalnio","Skarbelio g.",,
"Antakalnio","B. Sruogos g.",,
"Antakalnio","Svajonių g.",,
"Antakalnio","Šatrijos Raganos g.",,
"Antakalnio","Centrinė g. ","1-3.",
"Antakalnio","Šilo g.",,
"Antakalnio","Šilėnų g.",,
"Antakalnio","Švyturio g.",,
"Antakalnio","P. Širvio g.",,
"Antakalnio","Tramvajų g.",,
"Antakalnio","Turniškių",,
"Antakalnio","Tverečiaus g.",,
"Antakalnio","Vasaros g.",,
"Antakalnio","Valakupių g.",,
"Antakalnio","Vaidilutės g.",,
"Antakalnio","Veržuvos g.",,
"Antakalnio","P. Vileišio g.",,
"Antakalnio","Viršupio g.",,
"Antakalnio","Vismaliukų g.",,
"Antakalnio","Vinciūniškių g.",,
"Antakalnio","Volungės g.",,
"Antakalnio","Žirgo g.",,
"Antakalnio","Žolyno g.",,
"Antakalnio","Žuvėdrų g.",,
"Antakalnio","Antavilių g.",,
"Antakalnio","J. Biliūno g.",,
"Antakalnio","Laurų g.",,
"Antakalnio","Lazdynų Pelėdos g.",,
"Antakalnio","J. Škėmos g.",,
"Antakalnio","Kalno g. ","54-10000, 51-9999",
"Antakalnio","Barsukynės g.",,
"Antakalnio","Bruknių g.",,
"Antakalnio","Duburio g.",,
"Antakalnio","Juodvarnių g.",,
"Antakalnio","Lietaviškių g.",,
"Antakalnio","Nakvišų g.",,
"Antakalnio","Rasakilų g.",,
"Antakalnio","Sadūniškių g.",,
"Antakalnio","Sokiškių g.",,
"Antakalnio","Taurijos g.",,
"Antakalnio","Apuolės g.",,
"Antakalnio","Vikučionių g.",,
"Antakalnio","Dvarčionių g.",,
"Antakalnio","Giedros g.",,
"Antakalnio","S. Kairio g.",,
"Antakalnio","Keramikų g.",,
"Antakalnio","S. Kerbedžio g.",,
"Antakalnio","Koklių g.",,
"Antakalnio","Kregždžių g.",,
"Antakalnio","Moliakalnio g.",,
"Antakalnio","P. Morkūno g.",,
"Antakalnio","Puodžių g.",,
"Antakalnio","F. Rimgailos g.",,
"Antakalnio","Vanagų g.",,
"Antakalnio","M. Počobuto g",,
"Antakalnio","L. Karsavino g.",,
"Antakalnio","M. Rėmerio g.",,
"Antakalnio","V. Sezemano g.",,
"Antakalnio","K. Semenavičiaus g.",,
"Antakalnio","Antavilių Sodų 1-oji g.",,
"Antakalnio","Antavilių Sodų 2-oji g.",,
"Antakalnio","Antavilių sodų 3-oji g.",,
"Antakalnio","Antavilių Sodų 4-oji g.",,
"Antakalnio","Antavilių Sodų 5-oji g.",,
"Antakalnio","Antavilių Sodų 6-oji g.",,
"Antakalnio","Antavilių Sodų 7-oji g.",,
"Antakalnio","Antavilių Sodų 8-oji g.",,
"Antakalnio","Antavilių Sodų 9-oji g.",,
"Antakalnio","Antavilių Sodų 10-oji g.",,
"Antakalnio","Antavilių Sodų 12-oji g.",,
"Antakalnio","Dvarčionių Sodų 1-oji g.",,
"Antakalnio","Dvarčionių Sodų 2-oji g.",,
"Antakalnio","Dvarčionių Sodų 3-oji g.",,
"Antakalnio","Girinaičių g.",,
"Antakalnio","Girininkijos g.",,
"Antakalnio","Gelvadiškių Sodų 1-oji g.",,
"Antakalnio","Gelvadiškių Sodų 2-oji g.",,
"Antakalnio","Gelvadiškių Sodų 3-oji g.",,
"Antakalnio","Gelvadiškių Sodų 4-oji g.",,
"Antakalnio","Gelvadiškių Sodų 5-oji g.",,
"Antakalnio","Gelvadiškių Sodų 6-oji g.",,
"Antakalnio","Gvazdikų Sodų g.",,
"Antakalnio","Gvazdikų Sodų 1-oji g.",,
"Antakalnio","Gvazdikų Sodų 2-oji g.",,
"Antakalnio","Gvazdikų Sodų 3-oji g.",,
"Antakalnio","Gvazdikų Sodų 4-oji g.",,
"Antakalnio","Gvazdikų Sodų 5-oji g.",,
"Antakalnio","Gvazdikų Sodų 6-oji g.",,
"Antakalnio","Gvazdikų Sodų 7-oji g.",,
"Antakalnio","Gvazdikų Sodų 8-oji g.",,
"Antakalnio","Gvazdikų Sodų 9-oji g.",,
"Antakalnio","Gvazdikų Sodų 10-oji g.",,
"Antakalnio","Gvazdikų Sodų 11-oji g.",,
"Antakalnio","Gvazdikų Sodų 12-oji g.",,
"Antakalnio","Gvazdikų Sodų 13-oji g.",,
"Antakalnio","Gvazdikų Sodų 14-oji g.",,
"Antakalnio","Gvazdikų Sodų 15-oji g.",,
"Antakalnio","Gvazdikų Sodų 16-oji g.",,
"Antakalnio","Juodvarnių Sodų g.",,
"Antakalnio","Juodvarnių Sodų 1-oji g.",,
"Antakalnio","Juodvarnių Sodų 2-oji g.",,
"Antakalnio","Juodvarnių Sodų  3-oji g.",,
"Antakalnio","Juodvarnių Sodų 4-oji g.",,
"Antakalnio","Juodvarnių Sodų 5-oji g.",,
"Antakalnio","Juodvarnių Sodų 6-oji g.",,
"Antakalnio","Juodvarnių Sodų  7-oji g.",,
"Antakalnio","Juodvarnių Sodų 8-oji g.",,
"Antakalnio","Juodvarnių Sodų 9-oji g.",,
"Antakalnio","Juodvarnių Sodų 10-oji g.",,
"Antakalnio","Juodvarnių Sodų 11-oji g",,
"Antakalnio","Juodvarnių Sodų 12-oji g",,
"Antakalnio","Juodvarnių Sodų 13-oji g",,
"Antakalnio","Juodvarnių Sodų 14-oji g",,
"Antakalnio","Juodvarnių Sodų 15-oji g",,
"Antakalnio","Juodvarnių Sodų 16-oji g",,
"Antakalnio","Juodvarnių Sodų 17-oji g",,
"Antakalnio","Juodvarnių Sodų 18-oji g",,
"Antakalnio","Juodvarnių Sodų 19-oji g",,
"Antakalnio","Juodvarnių Sodų 20-oji g",,
"Antakalnio","Juodvarnių Sodų 21-oji g",,
"Antakalnio","Juodvarnių Sodų 22-oji g",,
"Antakalnio","Juodvarnių Sodų 23-oji g",,
"Antakalnio","Juodvarnių Sodų 24-oji g",,
"Antakalnio","Juodvarnių Sodų 25-oji g",,
"Antakalnio","Juodvarnių Sodų 26-oji g",,
"Antakalnio","Juodvarnių Sodų 27-oji g",,
"Antakalnio","Juodvarnių Sodų 28-oji g",,
"Antakalnio","Kairėnės Sodų g.",,
"Antakalnio","Kairėnės Sodų 1-oji g.",,
"Antakalnio","Kairėnės Sodų 2-oji g.",,
"Antakalnio","Kairėnės Sodų 3-oji g.",,
"Antakalnio","Kairėnės Sodų 4-oji g.",,
"Antakalnio","Kalvų Sodų 1-oji g.",,
"Antakalnio","Kalvų Sodų 2-oji g.",,
"Antakalnio","Kalvų Sodų 3-oji g.",,
"Antakalnio","Kalvų Sodų 4-oji g.",,
"Antakalnio","Karačiūnų Sodų 1-oji g.",,
"Antakalnio","Karačiūnų Sodų 2-oji g.",,
"Antakalnio","Karačiūnų Sodų 3-oji g.",,
"Antakalnio","Karačiūnų Sodų 4-oji g.",,
"Antakalnio","Karačiūnų Sodų 5-oji g.",,
"Antakalnio","Karačiūnų Sodų 6-oji g.",,
"Antakalnio","Karačiūnų Sodų 7-oji g.",,
"Antakalnio","Karačiūnų Sodų 8-oji g.",,
"Antakalnio","Karačiūnų Sodų 9-oji g.",,
"Antakalnio","Karačiūnų Sodų 10-oji g.",,
"Antakalnio","Karačiūnų Sodų 11-oji g.",,
"Antakalnio","Karačiūnų Sodų 12-oji g.",,
"Antakalnio","Karačiūnų Sodų 13-oji g.",,
"Antakalnio","Konservatorijos Sodų 1-oji g.",,
"Antakalnio","Konservatorijos Sodų 2-oji g.",,
"Antakalnio","Konservatorijos Sodų 3-oji g.",,
"Antakalnio","Konservatorijos Sodų 4-oji g.",,
"Antakalnio","Lakštingalos Sodų g.",,
"Antakalnio","Lakštingalos Sodų 1-oji g.",,
"Antakalnio","Lakštingalos Sodų 2-oji g.",,
"Antakalnio","Lakštingalos Sodų 3-oji g.",,
"Antakalnio","Lakštingalos Sodų 4-oji g.",,
"Antakalnio","Lakštingalos Sodų 5-oji g.",,
"Antakalnio","Lakštingalos Sodų 6-oji g.",,
"Antakalnio","Laurų Sodų 1-oji g.",,
"Antakalnio","Laurų Sodų 2-oji g.",,
"Antakalnio","Laurų Sodų 3-oji g.",,
"Antakalnio","Laurų Sodų 4-oji g.",,
"Antakalnio","Laurų Sodų 5-oji g.",,
"Antakalnio","Laurų Sodų 6-oji g.",,
"Antakalnio","Laurų Sodų 7-oji g.",,
"Antakalnio","Laurų Sodų 8-oji g.",,
"Antakalnio","Laurų Sodų 9-oji g.",,
"Antakalnio","Laurų Sodų 10-oji g.",,
"Antakalnio","Mileišiškių Sodų g.",,
"Antakalnio","Mileišiškių Sodų 1-oji g.",,
"Antakalnio","Mileišiškių Sodų 2-oji g.",,
"Antakalnio","Mileišiškių Sodų 3-oji g.",,
"Antakalnio","Mileišiškių Sodų 4-oji g.",,
"Antakalnio","Mileišiškių Sodų 5-oji g.",,
"Antakalnio","Mileišiškių Sodų 6-oji g.",,
"Antakalnio","Mileišiškių Sodų 7-oji g.",,
"Antakalnio","Mileišiškių Sodų 8-oji g.",,
"Antakalnio","Mileišiškių Sodų 9-oji g.",,
"Antakalnio","Mileišiškių Sodų 10-oji g.",,
"Antakalnio","Mileišiškių Sodų 11-oji g.",,
"Antakalnio","Mileišiškių Sodų 12-oji g.",,
"Antakalnio","Mileišiškių Sodų 13-oji g.",,
"Antakalnio","Mileišiškių Sodų 14-oji g.",,
"Antakalnio","Pragiedrulių Sodų 1-oji g.",,
"Antakalnio","Pragiedrulių Sodų 2-oji g.",,
"Antakalnio","Pragiedrulių Sodų 3-oji g.",,
"Antakalnio","Pragiedrulių Sodų 4-oji g.",,
"Antakalnio","Pragiedrulių Sodų 5-oji g.",,
"Antakalnio","Pragiedrulių Sodų 6-oji g.",,
"Antakalnio","Pragiedrulių Sodų 7-oji g.",,
"Antakalnio","Pupojų Sodų g.",,
"Antakalnio","Pupojų Sodų 1-oji g.",,
"Antakalnio","Pupojų Sodų 2-oji g.",,
"Antakalnio","Pupojų Sodų 3-oji g.",,
"Antakalnio","Pupojų Sodų 4-oji g.",,
"Antakalnio","Pupojų Sodų 5-oji g.",,
"Antakalnio","Pupojų Sodų 6-oji g.",,
"Antakalnio","Pupojų Sodų 7-oji g.",,
"Antakalnio","Pupojų Sodų 8-oji g.",,
"Antakalnio","Pupojų Sodų 9-oji g.",,
"Antakalnio","Pupojų Sodų 10-oji g.",,
"Antakalnio","Pupojų Sodų 11-oji g.",,
"Antakalnio","Pupojų Sodų 12-oji g.",,
"Antakalnio","Pupojų Sodų 13-oji g.",,
"Antakalnio","Pupojų Sodų 14-oji g.",,
"Antakalnio","Pupojų Sodų 15-oji g.",,
"Antakalnio","Pupojų Sodų 16-oji g.",,
"Antakalnio","Rokantiškių Sodų g.",,
"Antakalnio","Rokantiškių Sodų 1-oji g.",,
"Antakalnio","Rokantiškių Sodų 2-oji g.",,
"Antakalnio","Rokantiškių Sodų 3-oji g.",,
"Antakalnio","Rokantiškių Sodų 4-oji g.",,
"Antakalnio","Rokantiškių Sodų 5-oji g.",,
"Antakalnio","Rokantiškių Sodų 6-oji g.",,
"Antakalnio","Rokantiškių Sodų 7-oji g.",,
"Antakalnio","Rokantiškių Sodų 8-oji g.",,
"Antakalnio","Rokantiškių Sodų 9-oji g.",,
"Antakalnio","Rokantiškių Sodų 10-oji g.",,
"Antakalnio","Rokantiškių Sodų 11-oji g.",,
"Antakalnio","Rokantiškių Sodų 12-oji g.",,
"Antakalnio","Rokantiškių Sodų 13-oji g.",,
"Antakalnio","Rokantiškių Sodų 14-oji g.",,
"Antakalnio","Rokantiškių Sodų 15-oji g.",,
"Antakalnio","Rokantiškių Sodų 16-oji g.",,
"Antakalnio","Rokantiškių Sodų 17-oji g.",,
"Antakalnio","Rudausių Sodų 1-oji g.",,
"Antakalnio","Rudausių Sodų 2-oji g.",,
"Antakalnio","Rudausių Sodų 3-oji g.",,
"Antakalnio","Rudausių Sodų 4-oji g.",,
"Antakalnio","Rudausių Sodų 5-oji g.",,
"Antakalnio","Rudausių Sodų 6-oji g.",,
"Antakalnio","Rudausių Sodų 7-oji g.",,
"Antakalnio","Rudausių Sodų 8-oji g.",,
"Antakalnio","Rudausių Sodų 9-oji g.",,
"Antakalnio","Rudausių Sodų 10-oji g.",,
"Antakalnio","Rudausių Sodų 11-oji g.",,
"Antakalnio","Rudausių Sodų 12-oji g.",,
"Antakalnio","Rudausių Sodų 13-oji g.",,
"Antakalnio","Skarbelio Sodų 1-oji g.",,
"Antakalnio","Skarbelio Sodų 2-oji g.",,
"Antakalnio","Skarbelio Sodų 3-oji g.",,
"Antakalnio","Smėlynės Sodų g.",,
"Antakalnio","Smėlynės Sodų 1-oji g.",,
"Antakalnio","Smėlynės Sodų 2-oji g.",,
"Antakalnio","Smėlynės Sodų 3-oji g.",,
"Antakalnio","Smėlynės Sodų 4-oji g.",,
"Antakalnio","Smėlynės Sodų 5-oji g.",,
"Antakalnio","Šilėnų Sodų 1-oji g.",,
"Antakalnio","Šilėnų Sodų 2-oji g.",,
"Antakalnio","Šilėnų Sodų 3-oji g.",,
"Antakalnio","Šilėnų Sodų 4-oji g.",,
"Antakalnio","Šilėnų Sodų 5-oji g.",,
"Antakalnio","Šilėnų Sodų 6-oji g.",,
"Antakalnio","Šilėnų Sodų 7-oji g.",,
"Antakalnio","Šilėnų Sodų 8-oji g.",,
"Antakalnio","Šilėnų Sodų 9-oji g.",,
"Antakalnio","Talkos Sodų 1-oji g.",,
"Antakalnio","Talkos Sodų 2-oji g.",,
"Antakalnio","Talkos Sodų 3-oji g.",,
"Antakalnio","Talkos Sodų 4-oji g.",,
"Antakalnio","Turniškių Sodų g.",,
"Antakalnio","Vinciūniškių Sodų 1-oji g.",,
"Antakalnio","Vinciūniškių Sodų 2-oji g.",,
"Antakalnio","Vinciūniškių Sodų 3-oji g.",,
"Antakalnio","Vinciūniškių Sodų 4-oji g.",,
"Antakalnio","Vinciūniškių Sodų 5-oji g.",,
"Antakalnio","Vinciūniškių Sodų 6-oji g.",,
"Antakalnio","Vinciūniškių Sodų 7-oji g.",,
"Antakalnio","Vinciūniškių Sodų 8-oji g.",,
"Antakalnio","Vinciūniškių Sodų 9-oji g.",,
"Antakalnio","Vinciūniškių Sodų 10-oji g.",,
"Antakalnio","Vinciūniškių Sodų 11-oji g.",,
"Antakalnio","Vinciūniškių Sodų 12-oji g.",,
"Antakalnio","Vinciūniškių Sodų 13-oji g.",,
"Antakalnio","Vinciūniškių Sodų 14-oji g.",,
"Antakalnio","Vinciūniškių Sodų 15-oji g.",,
"Antakalnio","Vinciūniškių Sodų 16-oji g.",,
"Antakalnio","Vinciūniškių Sodų 17-oji g.",,
"Antakalnio","Vinciūniškių Sodų 18-oji g.",,
"Antakalnio","Vinciūniškių Sodų 19-oji g.",,
"Antakalnio","Vinciūniškių Sodų 20-oji g.",,
"Antakalnio","Vinciūniškių Sodų 21-oji g.",,
"Antakalnio","Vinciūniškių Sodų 22-oji g.",,
"Antakalnio","Vinciūniškių Sodų 23-oji g.",,
"Antakalnio","Vinciūniškių Sodų 24-oji g.",,
"Antakalnio","Viršupio Sodų g.",,
"Antakalnio","Viršupio Sodų 1-oji g.",,
"Antakalnio","Viršupio Sodų 2-oji g.",,
"Antakalnio","Viršupio Sodų 3-oji g.",,
"Antakalnio","Viršupio Sodų 4-oji g.",,
"Antakalnio","Viršupio Sodų 5-oji g.",,
"Antakalnio","Viršupio Sodų 6-oji g.",,
"Antakalnio","Viršupio Sodų 7-oji g.",,
"Antakalnio","Viršupio Sodų 8-oji g.",,
"Antakalnio","Viršupio Sodų 9-oji g.",,
"Antakalnio","Viršupio Sodų 10-oji g.",,
"Antakalnio","Viršupio Sodų 11-oji g.",,
"Antakalnio","Viršupio Sodų 12-oji g.",,
"Antakalnio","Viršupio Sodų 13-oji g.",,
"Antakalnio","Viršupio Sodų 14-oji g.",,
"Antakalnio","Viršupio Sodų 15-oji g.",,
"Antakalnio","Viršupio Sodų 16-oji g.",,
"Antakalnio","Viršupio Sodų 17-oji g.",,
"Antakalnio","Viršupio Sodų 18-oji g.",,
"Antakalnio","Viršupio Sodų 19-oji g.",,
"Antakalnio","Viršupio Sodų 20-oji g.",,
"Antakalnio","Viršupio Sodų 21-oji g.",,
"Antakalnio","Viršupio Sodų 22-oji g.",,
"Antakalnio","Viršupio Sodų 23-oji g.",,
"Antakalnio","Vismaliukų Sodų 1-oji g.",,
"Antakalnio","Vismaliukų Sodų 2-oji g.",,
"Antakalnio","Vismaliukų Sodų 3-oji g.",,
"Antakalnio","Vismaliukų Sodų 4-oji g.",,
"Antakalnio","Vismaliukų Sodų 5-oji g.",,
"Antakalnio","Vismaliukų Sodų 6-oji g.",,
"Antakalnio","Veržuvos Sodų g.",,
"Antakalnio","Vyrių Sodų 1-oji g.",,
"Antakalnio","Vyrių Sodų 2-oji g.",,
"Antakalnio","Vyrių Sodų 3-oji g.",,
"Antakalnio","Žirgo Sodų 1-oji g.",,
"Antakalnio","Žirgo Sodų 2-oji g.",,
"Antakalnio","Žirgo Sodų 3-oji g.",,
"Antakalnio","Žirgo Sodų 4-oji g.",,
"Antakalnio","Žirgo Sodų 5-oji g.",,
"Fabijoniškių","S. Stanevičiaus g.","2-32, 3-25, 3A, 7A, 13A, 14A,   18A, 21A, 24A, 25A,  26A, 27-95, 36-102, 38A, 42A, 45A, 45B, 52A, 56A, 70A,  73A, 79A, 86A, 96A, 98A",
"Fabijoniškių","Šešuolėlių g.",,
"Fabijoniškių","Fabijoniškių g.","1, 1A, 2-10, 2A, 3,  4A, 5A, 5B, 5C, 6A, 7-31, 9A, 18A, 20-24, 20A, 20B, 20C, 21A, 22A, 24A,  28, 32-82, 35-49, 43A, 43B, 45A, 53-69, 60A, 60C, 60D, 61A, 70A, 73-99, 73A,  75A, 79A,  86, 90, 90A, 90B, 90C,  92-96, 92A,  93A,  97A",
"Fabijoniškių","Kaimelio g.","3-19, 6-18, 27, 28, 31A, 36-82, 62A, 63, 64A, 69-75, 70A, 86, 88 ",
"Fabijoniškių","J. Juzeliūno g.",8,
"Fabijoniškių","Ateities g.","17, 17A, 21-25, 21A, 21C, 25A, 25B, 35-55, 77, 91",
"Fabijoniškių","Ateities g.","20-28, 26A, 44, 44A, 48",
"Fabijoniškių","Didlaukio g.","82-98, 84A, 86A, 86E",
"Fabijoniškių","Visorių g. ","2, 6-16, 6A, 12A",
"Fabijoniškių","L. Giros g.","2, 4, 4A, 7, 8-74, 74A, 78-84, 86A, 88-110,  89, 92A, 100A, 106A, 121-131, 127A, 142",
"Fabijoniškių","P. Žadeikos g.","1-5, 1A, 1B, 2-8, 9-17, 9A, 9B, 10-30, 14A, 16A, 26A, 26B, 30A, 30B",
"Fabijoniškių","Gedvydžių g.","1-7, 2-16, 3A, 6A, 8A, 16A, 17-23, 18-24, 23A,  25A, 25-33, 28-38, 33A, 35",
"Fabijoniškių","Ukmergės g.","279, 279A, 281, 283, 283A, 283B, 285, 297A, 315A, 315B, 315C, 317B, 319, 329B, 363, 369, 369A, 371, 373, 379, 383, 383A, 387, 391, 397, 409, 421, 425",
"Fabijoniškių","S. Nėries g.","3-31, 24, 30, 39-59, 63-71, 71A, 75-109",
"Fabijoniškių","M. Šleževičiaus g.","7, 9, 13, 15",
"Fabijoniškių","J.K. Chodkevičiaus g.","1, 9, 11, 19, 21, 23",
"Fabijoniškių","Daubų g.","1-9, 2-10",
"Fabijoniškių","Duonos Kalno g.","1, 22, 28",
"Fabijoniškių","Dominiškių g.","2, 3, 4, 7, 10",
"Fabijoniškių","Eglynlaukio g.","1-11, 4-8",
"Fabijoniškių","A. Gelgaudo g.","1, 2, 2C, 3, 4, 6, 6A, 15, 12-18, 23, ",
"Fabijoniškių","Gojavietės g.","1-7, 2-8",
"Fabijoniškių","Kęsgailų g.","1-9, 4, 8",
"Fabijoniškių","Kireniškių  g.","3-9, 6, 8",
"Fabijoniškių","Kruopiškių g.","1-5, 2, 4",
"Fabijoniškių","Laiškiškių g.","2-8, 3",
"Fabijoniškių","Lygių g.","1-9, 2-10",
"Fabijoniškių","M. Lietuvio g.","1-9, 2, 10, 15, 16, 17, 20",
"Fabijoniškių","Nuotakų g.","1-9, 2-6",
"Fabijoniškių","Pelėdūnų g.","1-9, 2-6",
"Fabijoniškių","Raudonupio g.","1-9, 2-6, 15",
"Fabijoniškių","Riaubonių g.","1-5, 2-18",
"Fabijoniškių","Sidabro Kalno g.","1-15, 2-22",
"Fabijoniškių","M. K. Šemetos g.","1-19, 2-18, 21",
"Fabijoniškių","Šventeliškių g.","3, 5, 7",
"Fabijoniškių","Paukščių Tako g.","1-7, 2, 8-48, 9-49, 52, 54-64, 55-63, 66-74",
"Fabijoniškių","Ožiaragio g.","1-7, 2-6",
"Fabijoniškių","Dvynių g.","1-7, 2-6",
"Fabijoniškių","Mergelės g.","1-11, 2-10",
"Fabijoniškių","Svarstyklių g.","15, 16, 19-27, 30",
"Fabijoniškių","Vandenio g.","2-8, 9A, 10-14, 13, 15, 18, 20, 22, 26, 26A, 26B, 35, 37, 39 ",
"Fabijoniškių","Šaulio g.","5-23.",
"Fabijoniškių","Salaspilio g.",,
"Fabijoniškių","L. Zamenhofo g.",,
"Grigiškių","Afindevičių g., Grigiškės",,
"Grigiškių","Gėlių g., Grigiškės",,
"Grigiškių","Jaunimo skg., Grigiškės",,
"Grigiškių","Kauno Vokės g., Grigiškės",,
"Grigiškių","Kovo 11 -osios g., Grigiškės",,
"Grigiškių","Kranto g., Grigiškės",,
"Grigiškių","Kunigiškių g., Grigiškės",,
"Grigiškių","Lentvario g., Grigiškės",,
"Grigiškių","Liepų g., Grigiškės",,
"Grigiškių","Miško g., Grigiškės",,
"Grigiškių","Mokyklos g., Grigiškės",,
"Grigiškių","Mažasis skg., Grigiškės ",,
"Grigiškių","Naujoji g., Grigiškės",,
"Grigiškių","Nepriklausomybės g., Grigiškės",,
"Grigiškių","Pakalnės g., Grigiškės",,
"Grigiškių","Paupio g., Grigiškės",,
"Grigiškių","Pašto g., Grigiškės",,
